msg_id,user_id,timestamp,channel_id,text
mn1,uX,2025-12-28T22:39:50.388939,ch3,update details
mn2,uX,2025-12-28T23:39:50.388939,ch3,update details
mn3,uX,2025-12-29T00:39:50.388939,ch3,update details
mn4,uX,2025-12-29T01:39:50.388939,ch3,update details
mn5,uX,2025-12-29T02:39:50.388939,ch3,update details
mn6,uX,2025-12-29T03:39:50.388939,ch3,update details
mn7,uX,2025-12-29T04:39:50.388939,ch3,update details
mn8,uX,2025-12-29T05:39:50.388939,ch3,update details
mn9,uX,2025-12-29T06:39:50.388939,ch3,update details
mn10,uX,2025-12-29T07:39:50.388939,ch3,update details
mn11,uX,2025-12-29T08:39:50.388939,ch3,update details
mn12,uX,2025-12-29T09:39:50.388939,ch3,update details
mn13,uX,2025-12-29T10:39:50.388939,ch3,update details
mn14,uX,2025-12-29T11:39:50.388939,ch3,update details
mn15,uX,2025-12-29T12:39:50.388939,ch3,update details
mn16,uY,2025-12-28T22:39:50.388939,ch3,update details
mn17,uY,2025-12-28T23:39:50.388939,ch3,update details
mn18,uY,2025-12-29T00:39:50.388939,ch3,update details
mn19,uY,2025-12-29T01:39:50.388939,ch3,update details
mn20,uY,2025-12-29T02:39:50.388939,ch3,update details
mn21,uY,2025-12-29T03:39:50.388939,ch3,update details
mn22,uZ,2025-12-28T22:39:50.388939,ch3,update details
mn23,uZ,2025-12-28T23:39:50.388939,ch3,update details
mn24,uZ,2025-12-29T00:39:50.388939,ch3,update details
mn25,uZ,2025-12-29T01:39:50.388939,ch3,update details
mn26,uZ,2025-12-29T02:39:50.388939,ch3,update details
mn27,uZ,2025-12-29T03:39:50.388939,ch3,update details
mn28,uZ,2025-12-29T04:39:50.388939,ch3,update details
mn29,uZ,2025-12-29T05:39:50.388939,ch3,update details
mn30,uZ,2025-12-29T06:39:50.388939,ch3,update details
mn31,uZ,2025-12-29T07:39:50.388939,ch3,update details
mn32,uZ,2025-12-29T08:39:50.388939,ch3,update details
mn33,uZ,2025-12-29T09:39:50.388939,ch3,update details
